experiment,parameter,avg_train,avg_test,best_test,std_test,avg_f1,best_f1,run1_train,run1_test,run1_f1,run2_train,run2_test,run2_f1,run3_train,run3_test,run3_f1,run4_train,run4_test,run4_f1,run5_train,run5_test,run5_f1
01_Number_of_layers,[32],0.7754,0.69873,0.80506,0.18629,0.66742,0.76884,0.852863,0.782278,0.752506,0.837674,0.797468,0.768844,0.567342,0.326582,0.304098,0.783027,0.805063,0.75539,0.836116,0.782278,0.756285
01_Number_of_layers,"[64, 32]",0.84063,0.74025,0.81519,0.105,0.71589,0.77782,0.734802,0.534177,0.532304,0.855035,0.75443,0.740345,0.885563,0.8,0.768353,0.86133,0.81519,0.777818,0.866432,0.797468,0.760606
01_Number_of_layers,"[128, 64]",0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
01_Number_of_layers,"[128, 64, 32]",0.81443,0.69013,0.82785,0.11699,0.66933,0.7858,0.709251,0.486076,0.486076,0.81467,0.683544,0.678391,0.920775,0.777215,0.735416,0.786089,0.827848,0.785805,0.841388,0.675949,0.660981
01_Number_of_layers,"[256, 128, 64, 32]",0.72028,0.68253,0.77721,0.09423,0.58033,0.69764,0.504846,0.749367,0.428365,0.796441,0.650633,0.648177,0.924736,0.721519,0.697642,0.659668,0.777215,0.613675,0.715729,0.513924,0.513771
02_Number_of_neurons,16,0.7247,0.61316,0.78228,0.18436,0.58972,0.75537,0.845374,0.782278,0.752506,0.831597,0.782278,0.755372,0.757482,0.592405,0.586801,0.674978,0.63038,0.618746,0.51406,0.278481,0.235167
02_Number_of_neurons,32,0.7754,0.69873,0.80506,0.18629,0.66742,0.76884,0.852863,0.782278,0.752506,0.837674,0.797468,0.768844,0.567342,0.326582,0.304098,0.783027,0.805063,0.75539,0.836116,0.782278,0.756285
02_Number_of_neurons,64,0.84996,0.78987,0.81266,0.01396,0.76022,0.77533,0.846696,0.797468,0.761718,0.849392,0.787342,0.763675,0.885563,0.774684,0.745381,0.833333,0.777215,0.754977,0.834798,0.812658,0.775334
02_Number_of_neurons,128,0.87655,0.7676,0.78734,0.01445,0.73688,0.75315,0.89163,0.764557,0.727301,0.859809,0.787342,0.753154,0.886884,0.746835,0.721564,0.866142,0.779747,0.751103,0.878295,0.759494,0.731275
02_Number_of_neurons,256,0.90236,0.76962,0.77721,0.00531,0.73505,0.74636,0.892511,0.777215,0.739086,0.899306,0.774684,0.746358,0.915053,0.767089,0.733077,0.899825,0.764557,0.724883,0.905097,0.764557,0.731824
03_Optimizer,sgd,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
03_Optimizer,momentum,0.91478,0.78025,0.78734,0.00586,0.74893,0.75922,0.903084,0.777215,0.743612,0.926215,0.787342,0.759216,0.922975,0.774684,0.745381,0.90245,0.787342,0.756287,0.919156,0.774684,0.740149
03_Optimizer,rmsprop,0.94378,0.77519,0.78987,0.01125,0.74111,0.76161,0.907489,0.762025,0.723768,0.963108,0.789873,0.761614,0.96963,0.767089,0.728449,0.915573,0.76962,0.735428,0.963093,0.787342,0.756287
03_Optimizer,adam,0.9032,0.76962,0.79241,0.01804,0.73837,0.76209,0.923789,0.762025,0.726131,0.898003,0.774684,0.748247,0.923415,0.779747,0.742632,0.870079,0.792405,0.76209,0.900703,0.739241,0.712727
04_Activation,relu,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
04_Activation,leaky_relu,0.89238,0.76405,0.79747,0.03854,0.73527,0.76346,0.90837,0.751899,0.713259,0.908854,0.787342,0.761953,0.908451,0.797468,0.757117,0.835521,0.693671,0.680568,0.900703,0.789873,0.763458
04_Activation,tanh,0.51123,0.55797,0.75443,0.22892,0.36913,0.55066,0.5,0.749367,0.428365,0.506944,0.303797,0.242931,0.5,0.253165,0.20202,0.5,0.729114,0.421669,0.549209,0.75443,0.550657
04_Activation,sigmoid,0.5,0.63595,0.74937,0.19195,0.37837,0.42836,0.5,0.749367,0.428365,0.5,0.706329,0.413947,0.5,0.253165,0.20202,0.5,0.729114,0.421669,0.5,0.741772,0.425872
05_Dataset_split,10%,0.89008,0.76853,0.81218,0.04043,0.73725,0.77934,0.898371,0.812183,0.779342,0.91124,0.746193,0.705795,0.904743,0.786802,0.752867,0.866329,0.700508,0.681605,0.869735,0.796954,0.766643
05_Dataset_split,20%,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
05_Dataset_split,30%,0.85794,0.77841,0.80776,0.02648,0.73466,0.77609,0.890672,0.772344,0.74246,0.876984,0.733558,0.718994,0.906873,0.775717,0.74821,0.693387,0.802698,0.687542,0.921796,0.807757,0.776093
05_Dataset_split,40%,0.92272,0.78582,0.81013,0.02165,0.75249,0.7688,0.920534,0.810127,0.7688,0.918966,0.8,0.767848,0.943221,0.798734,0.765083,0.927817,0.75443,0.724083,0.903073,0.765823,0.736634
06_Batch_size,16,0.87755,0.77772,0.81519,0.02425,0.74617,0.77438,0.892952,0.756962,0.716643,0.87934,0.797468,0.770682,0.892606,0.75443,0.728534,0.882327,0.764557,0.740618,0.84051,0.81519,0.774376
06_Batch_size,32,0.9032,0.77671,0.79241,0.01735,0.73823,0.75226,0.881498,0.789873,0.737823,0.916667,0.782278,0.745016,0.925616,0.744304,0.708755,0.889764,0.774684,0.747314,0.90246,0.792405,0.752264
06_Batch_size,64,0.89629,0.76152,0.77215,0.01005,0.7321,0.74941,0.90793,0.744304,0.707568,0.90842,0.76962,0.738637,0.897447,0.756962,0.727946,0.879703,0.772152,0.749408,0.887961,0.764557,0.736933
06_Batch_size,128,0.8913,0.77519,0.81266,0.02695,0.73788,0.75391,0.904405,0.792405,0.744526,0.893663,0.759494,0.734131,0.880722,0.812658,0.753907,0.895451,0.777215,0.748728,0.88225,0.734177,0.70813
06_Batch_size,256,0.88759,0.77519,0.81519,0.02579,0.74443,0.76106,0.882819,0.81519,0.761064,0.868056,0.736709,0.721951,0.913292,0.76962,0.740658,0.885827,0.787342,0.759216,0.887961,0.767089,0.739281
07_Learning_rate,0.1,0.83915,0.76203,0.81772,0.05156,0.73505,0.77422,0.813216,0.670886,0.657173,0.852865,0.756962,0.741365,0.889085,0.759494,0.733201,0.807524,0.817722,0.769276,0.83304,0.805063,0.774217
07_Learning_rate,0.05,0.88052,0.78329,0.80506,0.01707,0.74783,0.77118,0.86652,0.774684,0.736716,0.90842,0.76962,0.738637,0.852553,0.802532,0.755662,0.887139,0.805063,0.77118,0.887961,0.764557,0.736933
07_Learning_rate,0.01,0.91629,0.77823,0.77975,0.00304,0.74675,0.7511,0.918062,0.772152,0.734353,0.921441,0.779747,0.751103,0.921215,0.779747,0.750125,0.89895,0.779747,0.751103,0.921793,0.779747,0.747058
07_Learning_rate,0.001,0.87817,0.78127,0.79494,0.01297,0.75158,0.76548,0.881498,0.762025,0.732616,0.881076,0.789873,0.762546,0.888644,0.76962,0.740658,0.860892,0.794937,0.765476,0.878735,0.789873,0.756624
08_L2_regularization,0.0,0.88441,0.74177,0.76962,0.03254,0.71845,0.74024,0.888987,0.76962,0.735428,0.905382,0.736709,0.719812,0.867958,0.681013,0.665524,0.883202,0.767089,0.740236,0.876538,0.75443,0.731253
08_L2_regularization,0.0001,0.87724,0.74228,0.81519,0.04606,0.7151,0.75246,0.872687,0.81519,0.751476,0.909722,0.76962,0.75246,0.894806,0.698734,0.678103,0.837708,0.691139,0.677581,0.871265,0.736709,0.715859
